index,NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,EXPECTED ROI,SIMULATION_METHOD
2313,Nicolas Batum,BetMGM,player_points,3.5,110,Over,8.78,1,0.877,0.123,0.476,0.877,0.401,8.42,0.766,2.75,"(0.0, 18.9)",18.92,5.18,Med,0.84,Monte Carlo
2245,Mitchell Robinson,BetMGM,player_points,4.5,-110,Over,10.74,1,0.898,0.102,0.524,0.898,0.375,7.15,0.787,2.27,"(0.0, 21.6)",21.56,5.52,Med,0.72,Monte Carlo
308,Mitchell Robinson,FanDuel,player_points,4.5,-111,Over,10.74,1,0.898,0.102,0.526,0.898,0.372,7.08,0.786,2.25,"(0.0, 21.6)",21.56,5.52,Med,0.71,Monte Carlo
56,Andre Drummond,DraftKings,player_points,4.5,104,Over,9.3,1,0.836,0.164,0.49,0.836,0.346,7.06,0.679,2.6,"(0.0, 20.5)",20.51,5.72,Med,0.71,Monte Carlo
114,Mitchell Robinson,DraftKings,player_points,4.5,-112,Over,10.74,1,0.898,0.102,0.528,0.898,0.37,7.01,0.785,2.23,"(0.0, 21.6)",21.56,5.52,Med,0.7,Monte Carlo
970,Isaiah Jackson,BetOnline.ag,player_points,6.5,102,Over,10.61,1,0.808,0.192,0.495,0.808,0.313,6.33,0.62,2.55,"(0.0, 21.4)",21.45,5.53,Med,0.63,Monte Carlo
24,Isaiah Jackson,DraftKings,player_points,6.5,101,Over,10.61,1,0.808,0.192,0.498,0.808,0.311,6.24,0.618,2.52,"(0.0, 21.4)",21.45,5.53,Med,0.62,Monte Carlo
166,Blake Wesley,DraftKings,player_points,6.5,105,Over,9.92,1,0.771,0.229,0.488,0.771,0.283,5.8,0.553,2.62,"(0.0, 20.6)",20.56,5.43,Med,0.58,Monte Carlo
2203,Andre Drummond,BetMGM,player_points,3.5,-125,Over,9.3,1,0.876,0.124,0.556,0.876,0.321,5.78,0.722,2.0,"(0.0, 20.5)",20.51,5.72,Med,0.58,Monte Carlo
1012,Andre Drummond,BetOnline.ag,player_points,3.5,-125,Over,9.3,1,0.876,0.124,0.556,0.876,0.321,5.78,0.722,2.0,"(0.0, 20.5)",20.51,5.72,Med,0.58,Monte Carlo
1108,Blake Wesley,BetOnline.ag,player_points,6.5,104,Over,9.92,1,0.771,0.229,0.49,0.771,0.281,5.73,0.551,2.6,"(0.0, 20.6)",20.56,5.43,Med,0.57,Monte Carlo
