PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD
Malik Monk,1628370,LAL vs. GSW,LAL,1610612747,GSW,1,0022100002,2021-10-19,L,6,1,3,2,5,0.4,2,4,0.5,0,0,,0,3,2,0,1,-10,16.1,1.2,0.6,,,91.1,86.5,113.3,111.5,-22.2,0.0,0.13,0.067,0.071,0.6,1.0,0.12,0.6,119.29,115.29,0.089,45.0,96.08,0.121,18:44,4.49,1.49,0.0,5.0,5.0,27.0,0.0,0.0,21.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,3.0,0.0,10.0,2.0,7.0,22.0,0.0,1.0,0.0
Joe Harris,203925,BKN @ MIL,BKN,1610612751,MIL,0,0022100001,2021-10-19,L,9,2,2,3,9,0.333,3,5,0.6,0,0,,0,2,0,0,2,0,12.4,1.0,0.5,G,,113.8,119.7,115.6,108.9,-1.8,0.0,0.05,0.03,0.083,0.5,1.0,0.162,0.5,101.25,100.63,0.03,65.0,83.86,0.17,30:46,4.61,2.49,1.0,3.0,4.0,38.0,0.0,0.0,25.0,0.0,3.0,0.0,3.0,6.0,0.5,2.0,2.0,1.0,0.0,0.0,3.0,0.0,13.0,14.0,16.0,30.0,1.0,1.0,0.0
Pat Connaughton,1626192,MIL vs. BKN,MIL,1610612749,BKN,1,0022100001,2021-10-19,W,20,2,3,8,13,0.615,4,9,0.444,0,0,,0,3,1,1,0,0,32.6,1.538,0.7692307692307693,,,110.6,108.5,107.4,110.3,3.3,0.0,0.088,0.045,0.1,0.769,0.0,0.186,0.769,106.87,107.32,0.154,66.0,89.43,0.182,29:58,4.27,2.28,1.0,7.0,8.0,43.0,2.0,0.0,30.0,5.0,6.0,0.833,3.0,7.0,0.429,3.0,4.0,0.75,3.0,0.0,0.0,8.0,2.0,4.0,12.0,24.0,0.0,0.0,0.0
James Johnson,201949,BKN @ MIL,BKN,1610612751,MIL,0,0022100001,2021-10-19,L,1,2,0,0,2,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,-6,7.0,0.347,0.0,,,93.2,94.5,114.6,105.6,-21.5,0.0,0.0,0.0,0.154,0.0,0.0,0.061,0.174,101.85,98.47,-0.035,44.0,82.06,0.065,20:43,4.03,1.5,0.0,3.0,3.0,18.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,6.0,9.0,0.0,22.0,0.0,3.0,1.0
Patty Mills,201988,BKN @ MIL,BKN,1610612751,MIL,0,0022100001,2021-10-19,L,21,2,2,7,11,0.636,7,7,1.0,0,0,,0,2,1,1,0,7,32.4,1.909,0.9545454545454546,,,116.9,116.2,106.2,105.9,10.8,0.0,0.061,0.031,0.095,0.955,0.0,0.153,0.955,106.7,106.24,0.155,65.0,88.54,0.156,29:22,4.51,2.35,0.0,4.0,4.0,38.0,0.0,1.0,27.0,0.0,3.0,0.0,7.0,8.0,0.875,1.0,1.0,1.0,0.0,0.0,9.0,0.0,11.0,4.0,10.0,22.0,0.0,1.0,0.0
Kevon Looney,1626172,GSW @ LAL,GSW,1610612744,LAL,0,0022100002,2021-10-19,W,7,1,4,3,5,0.6,0,0,,1,2,0.5,2,2,1,1,1,-8,18.3,1.19,0.6,C,,70.0,69.7,87.8,88.3,-17.8,0.095,0.105,0.1,0.125,0.6,1.0,0.156,0.595,125.63,125.69,0.153,40.0,104.74,0.158,15:28,4.08,1.12,3.0,3.0,6.0,30.0,1.0,1.0,23.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,8.0,2.0,10.0,18.0,0.0,0.0,1.0
Otto Porter Jr.,203490,GSW @ LAL,GSW,1610612744,LAL,0,0022100002,2021-10-19,W,5,0,1,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,0,1,1,8.2,1.289,0.5,,,100.0,102.7,96.2,93.8,3.8,0.0,0.091,0.043,0.0,0.5,0.0,0.192,0.644,107.66,107.74,0.047,26.0,89.78,0.197,11:35,4.38,0.88,0.0,3.0,3.0,12.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,5.0,0.0,2.0,0.0,2.0,3.0,3.0,6.0,0.0,2.0,1.0
Gary Payton II,1627780,GSW @ LAL,GSW,1610612744,LAL,0,0022100002,2021-10-19,W,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,394.52,394.52,1.0,1.0,328.77,1.0,0:07,6.43,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Westbrook,201566,LAL vs. GSW,LAL,1610612747,GSW,1,0022100002,2021-10-19,L,8,4,5,4,13,0.308,0,4,0.0,0,0,,1,4,0,0,4,-23,16.0,0.615,0.3076923076923077,G,,91.7,89.8,117.6,115.7,-26.0,0.023,0.103,0.06,0.148,0.308,1.0,0.185,0.308,117.6,115.45,-0.003,84.0,96.2,0.192,35:08,4.26,2.69,2.0,8.0,9.0,77.0,0.0,3.0,57.0,2.0,5.0,0.4,2.0,8.0,0.25,3.0,3.0,1.0,2.0,2.0,0.0,6.0,15.0,10.0,8.0,40.0,0.0,4.0,1.0
James Harden,201935,BKN @ MIL,BKN,1610612751,MIL,0,0022100001,2021-10-19,L,20,8,8,6,16,0.375,4,8,0.5,4,4,1.0,3,5,1,2,4,-20,46.6,1.126,0.5,G,,103.0,108.1,132.8,126.4,-29.9,0.1,0.125,0.114,0.4,0.5,2.0,0.31,0.563,105.17,104.98,0.124,67.0,87.49,0.324,30:38,3.74,2.01,6.0,10.0,16.0,87.0,1.0,1.0,59.0,2.0,6.0,0.333,4.0,10.0,0.4,2.0,4.0,0.5,0.0,3.0,0.0,4.0,13.0,14.0,14.0,36.0,3.0,3.0,3.0
